,,,,,,,
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
101,Jules Geffroy-Remot,SO-2,Charleston (W.V.),05:06.0,25:21.2,96,LIVE IN LOU
102,Ethan Tank,SR-4,Flagler,05:06.2,25:22.0,97,LIVE IN LOU
103,Finnian Russell,JR-3,Flagler,05:06.3,25:22.9,98,LIVE IN LOU
104,Trey Sullivan,SO-2,Clemson,05:06.5,25:23.9,99,LIVE IN LOU
105,Jacob Hatcher,SR-4,Lee (Tenn.),05:06.7,25:24.9,,LIVE IN LOU
106,Cale Smith,SO-2,Eastern Illinois,05:06.9,25:25.5,100,LIVE IN LOU
107,Tal Old,JR-3,Lee (Tenn.),05:06.9,25:25.9,,LIVE IN LOU
108,Andrew Todd,SR-4,Augusta,05:07.4,25:28.1,,LIVE IN LOU
109,Will Stone,JR-3,Flagler,05:07.5,25:28.5,101,LIVE IN LOU
110,Sam Beeler,JR-3,Ohio,05:07.5,25:28.9,102,LIVE IN LOU
111,Carter Bradford,JR-3,Tennessee Tech,05:07.6,25:29.2,103,LIVE IN LOU
112,Sean Pettis,FR-1,Wayne State (Mich.),05:07.8,25:30.2,104,LIVE IN LOU
113,Theodore Cunningham,SO-2,Illinois-Chicago,05:07.8,25:30.4,105,LIVE IN LOU
114,Elijah Moran,JR-3,Lee (Tenn.),05:07.9,25:30.5,,LIVE IN LOU
115,Kaiden Lanoy,SO-2,Shawnee State,05:07.9,25:30.8,106,LIVE IN LOU
116,Collin Farmer,FR-1,Oakland,05:08.1,25:31.7,107,LIVE IN LOU
117,Garrett Ferguson,SO-2,Marshall,05:08.2,25:32.3,108,LIVE IN LOU
118,Kenneth Bishop,FR-1,Lee (Tenn.),05:08.2,25:32.4,,LIVE IN LOU
119,Parker Campbell,FR-1,Lee (Tenn.),05:08.3,25:32.5,,LIVE IN LOU
120,Jacob Peters,JR-3,Mercer,05:08.3,25:32.6,109,LIVE IN LOU
121,Logan Detweiler,SO-2,Oakland,05:08.3,25:32.7,110,LIVE IN LOU
122,Nick Janson,SR-4,Olivet Nazarene,05:08.6,25:34.0,111,LIVE IN LOU
123,Trevor Lanoy,SO-2,Shawnee State,05:08.9,25:35.5,112,LIVE IN LOU
124,Nolan Rogers,SO-2,Illinois-Chicago,05:09.0,25:36.0,113,LIVE IN LOU
125,Oscar Frontjes,FR-1,North Central (Ill.),05:09.0,25:36.0,,LIVE IN LOU
126,Cole Friend,SR-4,Charleston (W.V.),05:09.1,25:36.8,114,LIVE IN LOU
127,Reece Cato,SR-4,Mercer,05:09.1,25:36.9,115,LIVE IN LOU
128,Kasy Science,SO-2,Rio Grande,05:09.3,25:37.6,116,LIVE IN LOU
129,Riley Hanson,SO-2,Chattanooga,05:09.7,25:39.8,117,LIVE IN LOU
130,Jon Eide,SR-4,Flagler,05:10.0,25:41.0,118,LIVE IN LOU
131,Rylan Felumlee,JR-3,Cedarville,05:10.1,25:41.5,119,LIVE IN LOU
132,Prince Mcabelo,SR-4,West Texas A&M,05:10.2,25:42.1,120,LIVE IN LOU
133,Ryan Sula,JR-3,Clemson,05:10.3,25:42.5,121,LIVE IN LOU
134,Brady Heron,SO-2,Wayne State (Mich.),05:10.3,25:42.6,122,LIVE IN LOU
135,Thomas Rischar,SR-4,Augusta,05:10.4,25:42.9,,LIVE IN LOU
136,Orlando Hernandez,SO-2,Illinois-Chicago,05:10.4,25:43.0,,LIVE IN LOU
137,David Olmos,SR-4,Olivet Nazarene,05:10.4,25:43.1,123,LIVE IN LOU
138,Sam Nowak,SR-4,Eastern Illinois,05:10.5,25:43.4,124,LIVE IN LOU
139,Matthew Moore,SR-4,Augusta,05:10.7,25:44.9,,LIVE IN LOU
140,Isaac Wallis,FR-1,Cedarville,05:10.9,25:45.7,125,LIVE IN LOU
141,Ethan Wallis,SR-4,Cedarville,05:11.0,25:46.0,126,LIVE IN LOU
142,Derek Mitchell,FR-1,Chattanooga,05:11.1,25:46.4,127,LIVE IN LOU
143,Noah Schalliol,JR-3,Eastern Illinois,05:11.1,25:46.8,128,LIVE IN LOU
144,Avinash Patel,FR-1,Arkansas State,05:11.5,25:48.6,129,LIVE IN LOU
145,Nolan Hester,SR-4,Bellarmine,05:11.6,25:49.1,130,LIVE IN LOU
146,Jacob Puhalla,SO-2,Louisville,05:11.7,25:49.4,131,LIVE IN LOU
147,Eammon O'Bryant,SR-4,Chattanooga,05:11.7,25:49.4,132,LIVE IN LOU
148,Jackson Gawarecki,SR-4,Bellarmine,05:11.8,25:50.3,133,LIVE IN LOU
149,Dylan French,JR-3,Shawnee State,05:11.9,25:50.5,134,LIVE IN LOU
150,Gabriel Trevino,FR-1,Wayne State (Mich.),05:12.0,25:50.9,135,LIVE IN LOU
151,Austin Tice,FR-1,Olivet Nazarene,05:12.2,25:52.2,136,LIVE IN LOU
152,Isai Morales,SR-4,Eastern Illinois,05:12.4,25:53.0,137,LIVE IN LOU
153,Isaac Rascon,SR-4,Northern Colorado,05:12.4,25:53.0,138,LIVE IN LOU
154,Jonathan McGahney,SO-2,Clemson,05:12.4,25:53.1,,LIVE IN LOU
155,Ty Nagy,SO-2,Wayne State (Mich.),05:12.5,25:53.4,139,LIVE IN LOU
156,Jose Lozano,SO-2,Illinois-Chicago,05:12.5,25:53.5,,LIVE IN LOU
157,Ben Hunter,FR-1,Bellarmine,05:12.5,25:53.7,,LIVE IN LOU
158,Dylan Nolan,SO-2,Clemson,05:12.6,25:54.1,,LIVE IN LOU
159,Alex Jackson,SR-4,Charleston (W.V.),05:12.8,25:54.8,140,LIVE IN LOU
160,Charlie Bardwell,FR-1,Olivet Nazarene,05:12.8,25:55.2,141,LIVE IN LOU
161,Stetson Childress,SR-4,Northern Kentucky,05:12.9,25:55.6,142,LIVE IN LOU
162,Brady Dawkins,SO-2,Marshall,05:13.2,25:56.9,143,LIVE IN LOU
163,Wes Taylor,FR-1,Rio Grande,05:13.3,25:57.6,144,LIVE IN LOU
164,Dane Sullins,SO-2,East Tenn. St.,05:13.4,25:58.0,145,LIVE IN LOU
165,Austin Rush,JR-3,Olivet Nazarene,05:13.4,25:58.2,146,LIVE IN LOU
166,Christian Fernandez,SR-4,Flagler,05:13.7,25:59.4,147,LIVE IN LOU
167,Ryan Farrell,JR-3,Louisville,05:14.4,26:02.8,148,LIVE IN LOU
168,Ryan Blohm,SO-2,Ohio,05:14.5,26:03.5,,LIVE IN LOU
169,Samsun Weldemichael,FR-1,Northern Kentucky,05:14.6,26:04.2,149,LIVE IN LOU
170,Collin Houg,FR-1,Cedarville,05:14.7,26:04.5,150,LIVE IN LOU
171,Nathan Ruth,FR-1,Northern Kentucky,05:14.8,26:05.0,151,LIVE IN LOU
172,Aidan Armstrong,JR-3,North Central (Ill.),05:15.0,26:05.9,,LIVE IN LOU
173,Chinmay Dongari,SR-4,Mercer,05:15.5,26:08.3,152,LIVE IN LOU
174,Angel Solis,JR-3,Illinois-Chicago,05:15.6,26:09.0,,LIVE IN LOU
175,Chip Smith,SO-2,Louisville,05:15.7,26:09.7,153,LIVE IN LOU
176,Connor Wertman,SR-4,Ohio,05:15.8,26:10.1,,LIVE IN LOU
177,Grayson Young,JR-3,Arkansas State,05:15.9,26:10.6,154,LIVE IN LOU
178,Kaigen Mulkey,SR-4,Chattanooga,05:16.1,26:11.5,155,LIVE IN LOU
179,Joseph Shaya,SR-4,Oakland,05:16.2,26:11.9,156,LIVE IN LOU
180,Chase Austin,SO-2,Bellarmine,05:16.2,26:12.0,,LIVE IN LOU
181,Hunter Griffin,SR-4,Bellarmine,05:16.6,26:14.2,,LIVE IN LOU
182,Cale Schafer,SR-4,Northern Colorado,05:16.8,26:15.1,157,LIVE IN LOU
183,Samuel Martini,FR-1,Wayne State (Mich.),05:16.9,26:15.5,158,LIVE IN LOU
184,Robert Dawson,JR-3,Tennessee Tech,05:16.9,26:15.5,159,LIVE IN LOU
185,Jack Ballard,FR-1,Bellarmine,05:16.9,26:15.6,,LIVE IN LOU
186,Nate Lewis,SO-2,Cedarville,05:17.0,26:15.7,160,LIVE IN LOU
